,Year,WinTeam,LoseTeam,Win
0,2002,Siena,Alcorn St.,1
1,2002,Alabama,Florida Atlantic,1
2,2002,Arizona,UC Santa Barbara,1
3,2002,Duke,Winthrop,1
4,2002,Indiana,Utah,1
5,2002,Kansas,Holy Cross,1
6,2002,Kent St.,Oklahoma St.,0
7,2002,Kentucky,Valparaiso,1
8,2002,Missouri,Miami FL,0
9,2002,Notre Dame,Charlotte,1
10,2002,Ohio St.,Davidson,1
11,2002,Oregon,Montana,1
12,2002,Stanford,Western Kentucky,1
13,2002,Tulsa,Marquette,0
14,2002,UNC Wilmington,USC,0
15,2002,Wake Forest,Pepperdine,1
16,2002,Wyoming,Gonzaga,0
17,2002,California,Penn,1
18,2002,Cincinnati,Boston University,1
19,2002,Connecticut,Hampton,1
20,2002,Creighton,Florida,0
21,2002,Georgia,Murray St.,1
22,2002,Illinois,San Diego St.,1
23,2002,Maryland,Siena,1
24,2002,Mississippi St.,McNeese St.,1
25,2002,North Carolina St.,Michigan St.,1
26,2002,Oklahoma,Illinois Chicago,1
27,2002,Pittsburgh,Central Connecticut,1
28,2002,Southern Illinois,Texas Tech,0
29,2002,Texas,Boston College,1
30,2002,UCLA,Mississippi,1
31,2002,Wisconsin,St. John's,1
32,2002,Xavier,Hawaii,1
33,2002,Arizona,Wyoming,1
34,2002,Duke,Notre Dame,1
35,2002,Indiana,UNC Wilmington,1
36,2002,Kansas,Stanford,1
37,2002,Kent St.,Alabama,0
38,2002,Kentucky,Tulsa,1
39,2002,Missouri,Ohio St.,0
40,2002,Oregon,Wake Forest,1
41,2002,Connecticut,North Carolina St.,1
42,2002,Illinois,Creighton,1
43,2002,Maryland,Wisconsin,1
44,2002,Oklahoma,Xavier,1
45,2002,Pittsburgh,California,1
46,2002,Southern Illinois,Georgia,0
47,2002,Texas,Mississippi St.,0
48,2002,UCLA,Cincinnati,0
49,2002,Indiana,Duke,0
50,2002,Kent St.,Pittsburgh,0
51,2002,Missouri,UCLA,0
52,2002,Oklahoma,Arizona,1
53,2002,Connecticut,Southern Illinois,1
54,2002,Kansas,Illinois,1
55,2002,Maryland,Kentucky,1
56,2002,Oregon,Texas,1
57,2002,Indiana,Kent St.,1
58,2002,Oklahoma,Missouri,1
59,2002,Kansas,Oregon,1
60,2002,Maryland,Connecticut,1
61,2002,Indiana,Oklahoma,0
62,2002,Maryland,Kansas,1
63,2002,Maryland,Indiana,1
64,2003,UNC Asheville,Texas Southern,0
65,2003,Arizona,Vermont,1
66,2003,Arizona St.,Memphis,0
67,2003,Central Michigan,Creighton,0
68,2003,California,North Carolina St.,1
69,2003,Connecticut,BYU,1
70,2003,Duke,Colorado St.,1
71,2003,Gonzaga,Cincinnati,0
72,2003,Illinois,Western Kentucky,1
73,2003,Kansas,Utah St.,1
74,2003,Marquette,Holy Cross,1
75,2003,Missouri,Southern Illinois,1
76,2003,Notre Dame,Milwaukee,1
77,2003,Oklahoma,South Carolina St.,1
78,2003,Stanford,San Diego,1
79,2003,Tulsa,Dayton,0
80,2003,Wisconsin,Weber St.,1
81,2003,Auburn,Saint Joseph's,0
82,2003,Butler,Mississippi St.,0
83,2003,Florida,Sam Houston St.,1
84,2003,Indiana,Alabama,1
85,2003,Kentucky,IUPUI,1
86,2003,Louisville,Austin Peay,1
87,2003,Maryland,UNC Wilmington,1
88,2003,Michigan St.,Colorado,1
89,2003,Oklahoma St.,Penn,1
90,2003,Pittsburgh,Wagner,1
91,2003,Purdue,LSU,0
92,2003,Syracuse,Manhattan,1
93,2003,Texas,UNC Asheville,1
94,2003,Utah,Oregon,0
95,2003,Wake Forest,East Tennessee St.,1
96,2003,Xavier,Troy St.,1
97,2003,Arizona,Gonzaga,1
98,2003,Connecticut,Stanford,0
99,2003,Duke,Central Michigan,1
100,2003,Kansas,Arizona St.,1
101,2003,Marquette,Missouri,1
102,2003,Notre Dame,Illinois,0
103,2003,Oklahoma,California,1
104,2003,Wisconsin,Tulsa,1
105,2003,Auburn,Wake Forest,0
106,2003,Butler,Louisville,0
107,2003,Kentucky,Utah,1
108,2003,Maryland,Xavier,0
109,2003,Michigan St.,Florida,0
110,2003,Pittsburgh,Indiana,1
111,2003,Syracuse,Oklahoma St.,1
112,2003,Texas,Purdue,1
113,2003,Arizona,Notre Dame,1
114,2003,Kansas,Duke,1
115,2003,Kentucky,Wisconsin,1
116,2003,Marquette,Pittsburgh,0
117,2003,Michigan St.,Maryland,0
118,2003,Oklahoma,Butler,1
119,2003,Syracuse,Auburn,1
120,2003,Texas,Connecticut,1
121,2003,Kansas,Arizona,0
122,2003,Marquette,Kentucky,0
123,2003,Syracuse,Oklahoma,0
124,2003,Texas,Michigan St.,1
125,2003,Kansas,Marquette,1
126,2003,Syracuse,Texas,0
127,2003,Syracuse,Kansas,0
128,2004,Florida A&M;,Lehigh,0
129,2004,Alabama,Southern Illinois,1
130,2004,Connecticut,Vermont,1
131,2004,DePaul,Dayton,1
132,2004,Duke,Alabama St.,1
133,2004,Gonzaga,Valparaiso,1
134,2004,Manhattan,Florida,0
135,2004,Maryland,UTEP,1
136,2004,Nevada,Michigan St.,0
137,2004,North Carolina,Air Force,1
138,2004,Seton Hall,Arizona,1
139,2004,Saint Joseph's,Liberty,1
140,2004,Stanford,UTSA,1
141,2004,Syracuse,BYU,1
142,2004,Texas,Princeton,1
143,2004,Texas Tech,Charlotte,1
144,2004,Wake Forest,VCU,1
145,2004,Boston College,Utah,1
146,2004,Cincinnati,East Tennessee St.,1
147,2004,Georgia Tech,Northern Iowa,1
148,2004,Illinois,Murray St.,1
149,2004,Kansas,Illinois Chicago,1
150,2004,Kentucky,Florida A&M;,1
151,2004,Memphis,South Carolina,1
152,2004,Mississippi St.,Monmouth,1
153,2004,North Carolina St.,Louisiana Lafayette,1
154,2004,Oklahoma St.,Eastern Washington,1
155,2004,Pacific,Providence,0
156,2004,Pittsburgh,UCF,1
157,2004,UAB,Washington,0
158,2004,Vanderbilt,Western Michigan,1
159,2004,Wisconsin,Richmond,1
160,2004,Xavier,Louisville,1
161,2004,Alabama,Stanford,0
162,2004,Connecticut,DePaul,1
163,2004,Duke,Seton Hall,1
164,2004,Nevada,Gonzaga,0
165,2004,Saint Joseph's,Texas Tech,1
166,2004,Syracuse,Maryland,0
167,2004,Texas,North Carolina,1
168,2004,Wake Forest,Manhattan,1
169,2004,Georgia Tech,Boston College,1
170,2004,Illinois,Cincinnati,0
171,2004,Kansas,Pacific,1
172,2004,Oklahoma St.,Memphis,1
173,2004,Pittsburgh,Wisconsin,1
174,2004,UAB,Kentucky,0
175,2004,Vanderbilt,North Carolina St.,0
176,2004,Xavier,Mississippi St.,0
177,2004,Alabama,Syracuse,0
178,2004,Connecticut,Vanderbilt,1
179,2004,Oklahoma St.,Pittsburgh,1
180,2004,Saint Joseph's,Wake Forest,1
181,2004,Duke,Illinois,1
182,2004,Georgia Tech,Nevada,1
183,2004,Kansas,UAB,1
184,2004,Xavier,Texas,0
185,2004,Connecticut,Alabama,1
186,2004,Oklahoma St.,Saint Joseph's,0
187,2004,Duke,Xavier,1
188,2004,Georgia Tech,Kansas,1
189,2004,Connecticut,Duke,0
190,2004,Georgia Tech,Oklahoma St.,0
191,2004,Connecticut,Georgia Tech,1
192,2005,Oakland,Alabama A&M;,1
193,2005,Arizona,Utah St.,1
194,2005,Boston College,Penn,1
195,2005,Cincinnati,Iowa,1
196,2005,Gonzaga,Winthrop,1
197,2005,Illinois,Fairleigh Dickinson,1
198,2005,Kentucky,Eastern Kentucky,1
199,2005,Nevada,Texas,0
200,2005,Oklahoma,Niagara,1
201,2005,Pacific,Pittsburgh,1
202,2005,Texas Tech,UCLA,1
203,2005,UAB,LSU,0
204,2005,Utah,UTEP,1
205,2005,Wake Forest,Chattanooga,1
206,2005,Washington,Montana,1
207,2005,West Virginia,Creighton,1
208,2005,Milwaukee,Alabama,0
209,2005,Bucknell,Kansas,0
210,2005,Connecticut,UCF,1
211,2005,Duke,Delaware St.,1
212,2005,Florida,Ohio,1
213,2005,Georgia Tech,George Washington,1
214,2005,Iowa St.,Minnesota,0
215,2005,Louisville,Louisiana Lafayette,1
216,2005,Michigan St.,Old Dominion,1
217,2005,Mississippi St.,Stanford,0
218,2005,North Carolina St.,Charlotte,0
219,2005,North Carolina,Oakland,1
220,2005,Oklahoma St.,Southeastern Louisiana,1
221,2005,Southern Illinois,Saint Mary's,1
222,2005,Vermont,Syracuse,0
223,2005,Villanova,New Mexico,1
224,2005,Wisconsin,Northern Iowa,1
225,2005,Arizona,UAB,1
226,2005,Illinois,Nevada,1
227,2005,Kentucky,Cincinnati,1
228,2005,Texas Tech,Gonzaga,0
229,2005,Utah,Oklahoma,0
230,2005,Washington,Pacific,1
231,2005,West Virginia,Wake Forest,0
232,2005,Milwaukee,Boston College,0
233,2005,Duke,Mississippi St.,1
234,2005,Louisville,Georgia Tech,1
235,2005,Michigan St.,Vermont,1
236,2005,North Carolina St.,Connecticut,0
237,2005,North Carolina,Iowa St.,1
238,2005,Oklahoma St.,Southern Illinois,1
239,2005,Villanova,Florida,0
240,2005,Wisconsin,Bucknell,1
241,2005,Arizona,Oklahoma St.,0
242,2005,Illinois,Milwaukee,1
243,2005,Louisville,Washington,0
244,2005,West Virginia,Texas Tech,0
245,2005,Kentucky,Utah,1
246,2005,Michigan St.,Duke,0
247,2005,North Carolina,Villanova,1
248,2005,Wisconsin,North Carolina St.,1
249,2005,Illinois,Arizona,1
250,2005,Louisville,West Virginia,1
251,2005,Michigan St.,Kentucky,0
252,2005,North Carolina,Wisconsin,1
253,2005,Illinois,Louisville,1
254,2005,North Carolina,Michigan St.,1
255,2005,North Carolina,Illinois,1
256,2006,Monmouth,Hampton,1
257,2006,Alabama,Marquette,0
258,2006,Boston College,Pacific,1
259,2006,Duke,Southern,1
260,2006,Florida,South Alabama,1
261,2006,George Washington,UNC Wilmington,1
262,2006,Gonzaga,Xavier,1
263,2006,Illinois,Air Force,1
264,2006,Indiana,San Diego St.,1
265,2006,LSU,Iona,1
266,2006,Montana,Nevada,0
267,2006,Tennessee,Winthrop,1
268,2006,Texas A&M;,Syracuse,0
269,2006,UCLA,Belmont,1
270,2006,Washington,Utah St.,1
271,2006,Milwaukee,Oklahoma,0
272,2006,Wichita St.,Seton Hall,1
273,2006,Arizona,Wisconsin,1
274,2006,Bradley,Kansas,0
275,2006,Bucknell,Arkansas,0
276,2006,Connecticut,Albany,1
277,2006,George Mason,Michigan St.,0
278,2006,Georgetown,Northern Iowa,1
279,2006,Kentucky,UAB,1
280,2006,Memphis,Oral Roberts,1
281,2006,North Carolina St.,California,0
282,2006,North Carolina,Murray St.,1
283,2006,Northwestern St.,Iowa,0
284,2006,Ohio St.,Davidson,1
285,2006,Pittsburgh,Kent St.,1
286,2006,Texas,Penn,1
287,2006,Villanova,Monmouth,1
288,2006,West Virginia,Southern Illinois,1
289,2006,Boston College,Montana,1
290,2006,Duke,George Washington,1
291,2006,Florida,Milwaukee,1
292,2006,Gonzaga,Indiana,1
293,2006,LSU,Texas A&M;,1
294,2006,UCLA,Alabama,1
295,2006,Washington,Illinois,0
296,2006,Wichita St.,Tennessee,0
297,2006,Bradley,Pittsburgh,0
298,2006,Connecticut,Kentucky,1
299,2006,George Mason,North Carolina,0
300,2006,Georgetown,Ohio St.,0
301,2006,Memphis,Bucknell,1
302,2006,Texas,North Carolina St.,1
303,2006,Villanova,Arizona,1
304,2006,West Virginia,Northwestern St.,1
305,2006,LSU,Duke,0
306,2006,Memphis,Bradley,1
307,2006,Texas,West Virginia,1
308,2006,UCLA,Gonzaga,1
309,2006,Connecticut,Washington,1
310,2006,Florida,Georgetown,1
311,2006,George Mason,Wichita St.,0
312,2006,Villanova,Boston College,1
313,2006,LSU,Texas,0
314,2006,UCLA,Memphis,0
315,2006,Florida,Villanova,0
316,2006,George Mason,Connecticut,0
317,2006,Florida,George Mason,1
318,2006,UCLA,LSU,1
319,2006,Florida,UCLA,0
320,2007,Niagara,Florida A&M;,1
321,2007,Boston College,Texas Tech,1
322,2007,Butler,Old Dominion,1
323,2007,Georgetown,Belmont,1
324,2007,Indiana,Gonzaga,1
325,2007,Louisville,Stanford,1
326,2007,Maryland,Davidson,1
327,2007,Michigan St.,Marquette,0
328,2007,North Carolina,Eastern Kentucky,1
329,2007,Ohio St.,Central Connecticut,1
330,2007,Pittsburgh,Wright St.,1
331,2007,Texas A&M;,Penn,1
332,2007,UCLA,Weber St.,1
333,2007,VCU,Duke,0
334,2007,Vanderbilt,George Washington,1
335,2007,Washington St.,Oral Roberts,1
336,2007,Xavier,BYU,0
337,2007,Florida,Jackson St.,1
338,2007,Kansas,Niagara,1
339,2007,Kentucky,Villanova,1
340,2007,Memphis,North Texas,1
341,2007,Nevada,Creighton,1
342,2007,Oregon,Miami OH,1
343,2007,Purdue,Arizona,0
344,2007,Southern Illinois,Holy Cross,1
345,2007,Tennessee,Long Beach St.,1
346,2007,Texas,New Mexico St.,1
347,2007,UNLV,Georgia Tech,1
348,2007,USC,Arkansas,1
349,2007,Virginia,Albany,1
350,2007,Virginia Tech,Illinois,1
351,2007,Winthrop,Notre Dame,0
