,Team,Seed,Year,Efficiency Margin,Offensive Efficiency,Defensive Efficiency,Tempo,Luck,Strength of Schedule,Opponent Offense,Opponent Defense,Non-Conference Strength of Schedule
0,Gonzaga,1,2017,32.05,118.4,86.3,70.1,0.02,2.99,106.2,103.2,1.02
1,Villanova,1,2017,29.88,122.4,92.5,64.0,0.01,9.33,109.8,100.4,3.55
2,North Carolina,1,2017,28.22,120.7,92.5,71.2,0.037,12.49,112.0,99.5,3.87
3,Kentucky,2,2017,27.72,119.1,91.4,71.9,0.006,10.98,110.4,99.5,3.74
4,Florida,4,2017,27.5,116.9,89.4,68.9,-0.041,12.46,110.2,97.7,8.19
5,Kansas,1,2017,27.45,122.0,94.5,70.2,0.067,12.43,111.2,98.7,2.39
6,West Virginia,4,2017,27.17,116.5,89.4,69.9,-0.043,10.84,110.0,99.2,-7.97
7,Wichita St.,10,2017,26.14,118.7,92.6,67.9,-0.021,1.5,105.0,103.5,-0.32
8,Louisville,2,2017,25.51,117.2,91.7,67.9,-0.023,11.14,111.6,100.4,4.2
9,Oregon,3,2017,25.02,118.2,93.2,67.0,0.034,8.05,109.2,101.1,0.51
10,SMU,6,2017,24.74,119.8,95.0,63.4,0.003,3.25,105.3,102.0,-0.92
11,Virginia,5,2017,24.29,112.2,87.9,59.1,-0.03,11.68,111.4,99.7,2.29
12,Baylor,3,2017,24.23,117.1,92.9,63.6,0.023,13.08,111.6,98.5,1.67
13,Duke,2,2017,24.17,121.0,96.9,68.2,0.014,11.43,111.0,99.5,0.03
14,Saint Mary's,7,2017,23.66,118.7,95.0,60.2,0.03,0.42,104.3,103.9,-4.12
15,UCLA,3,2017,23.63,124.0,100.4,72.5,0.021,5.18,107.9,102.7,-4.66
16,Iowa St.,5,2017,23.45,119.7,96.3,68.3,-0.019,14.05,112.6,98.5,-0.74
17,Arizona,2,2017,23.31,118.4,95.1,66.0,0.046,7.13,108.6,101.5,1.69
18,Purdue,4,2017,23.12,116.9,93.8,69.1,0.016,9.0,109.6,100.6,-2.37
19,Michigan,7,2017,23.05,122.3,99.3,63.0,-0.025,10.76,110.3,99.5,-0.53
20,Wisconsin,8,2017,22.99,115.1,92.1,63.4,-0.003,10.0,110.5,100.5,-1.29
21,Oklahoma St.,10,2017,22.47,126.0,103.5,70.3,-0.071,14.42,112.0,97.5,3.07
22,Cincinnati,6,2017,22.18,115.0,92.8,63.5,0.026,4.17,107.1,102.9,-0.47
23,South Carolina,7,2017,20.81,108.9,88.1,68.6,-0.005,10.63,110.1,99.5,1.93
24,Butler,4,2017,20.76,117.7,97.0,65.8,0.002,10.81,110.8,99.9,5.13
25,Florida St.,3,2017,20.06,115.5,95.4,71.2,0.039,8.82,110.6,101.8,-3.95
26,Notre Dame,5,2017,19.74,118.1,98.4,67.0,0.024,10.24,110.0,99.8,-3.84
27,Creighton,6,2017,18.83,115.3,96.5,71.1,0.004,8.97,110.2,101.3,-1.23
28,Kansas St.,11,2017,17.44,113.0,95.6,66.2,-0.029,11.56,110.6,99.0,-5.3
29,Xavier,11,2017,16.7,115.8,99.1,67.1,0.044,11.73,111.2,99.5,5.32
30,Marquette,10,2017,16.58,120.8,104.2,70.0,-0.058,9.03,109.1,100.0,-2.16
